,SWD_1,SWD_2,SWD_3,SWD_4,SWD_5,SWD_6,SWD_7,SWD_8,SWD_9,SWD_10,SWD_11,SWD_12,SWD_13,SWD_14,SWD_15,SWD_16,SWD_17,SWD_18,SWD_19,SWD_20,SWD_21,SWD_22,SWD_23,SWD_24,SWD_25,SWD_26,SWD_27,SWD_28,SWD_29,SWD_30,SWD_31,SWD_32,SWD_33,SWD_34,SWD_35,SWD_36,SWD_37,SWD_38,SWD_39,SWD_40,SWD_41,SWD_42,SWD_43,SWD_44,SWD_45,SWD_46,SWD_47,SWD_48,SWD_49,SWD_50,SWD_51,SWD_52,SWD_53,SWD_54,SWD_55,SWD_56,SWD_57,SWD_58,SWD_59,SWD_60,SWD_61,SWD_62,SWD_63,SWD_64,SWD_65,SWD_66,SWD_67,SWD_68,SWD_69,SWD_70,SWD_71,SWD_72,SWD_73,SWD_74,SWD_75,SWD_76,SWD_77,SWD_78,SWD_79,SWD_80,SWD_81,SWD_82,SWD_83,SWD_84,SWD_85,SWD_86,SWD_87,SWD_88,SWD_89,SWD_90,SWD_91,SWD_92,SWD_93,SWD_94,SWD_95,SWD_96
2020-04-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.15,16.64,38.86,38.86,96.31,125.99,158.66,193.95,279.33,322.05,361.35,397.64,450.6,484.87,517.12,547.62,590.51,616.89,641.08,663.36,692.75,709.27,723.45,735.58,748.44,753.39,756.27,757.33,753.2,746.45,737.43,726.43,697.47,679.12,663.26,649.57,614.78,588.22,558.61,526.31,485.34,449.18,414.2,380.26,324.28,284.7,245.59,206.9,149.48,113.47,80.19,49.3,4.61,4.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,18.69,46.11,46.11,115.13,153.0,190.44,227.51,281.19,320.99,359.08,395.69,443.44,480.73,507.72,525.69,481.09,521.47,564.59,610.12,677.3,700.98,719.1,732.36,724.39,726.82,680.64,591.93,741.43,647.81,437.13,124.02,666.14,675.56,672.26,657.85,618.8,592.81,565.91,538.22,492.0,456.41,420.6,384.58,327.88,288.57,248.5,207.77,113.64,91.03,71.85,55.67,17.15,17.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.02,13.51,23.01,23.01,30.97,44.52,58.39,72.54,79.56,91.61,95.81,93.14,102.81,120.65,146.91,180.56,237.68,286.22,381.58,517.9,643.13,641.79,640.3,638.7,634.45,631.83,620.13,600.48,555.43,528.45,506.07,487.71,494.51,593.56,650.46,670.46,640.28,613.95,586.56,558.24,510.64,475.5,439.99,404.17,347.51,308.14,269.28,230.89,172.34,133.34,97.85,65.44,23.21,23.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.63,20.36,38.29,38.29,93.95,146.7,198.83,250.44,309.95,349.23,386.98,423.4,476.85,511.25,543.61,574.19,617.14,643.74,668.21,690.83,720.48,737.1,751.43,763.77,777.24,782.67,785.97,787.41,783.79,777.22,768.85,758.91,738.41,720.39,700.85,679.99,643.75,616.25,588.02,559.16,511.44,476.57,441.39,405.93,349.44,309.86,270.94,232.6,173.98,134.94,99.59,67.46,25.52,25.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.04,26.35,57.09,57.09,130.89,169.81,208.11,245.87,303.69,342.46,379.76,415.76,468.64,502.82,535.06,565.61,608.65,635.13,659.4,681.74,711.09,727.62,741.93,754.29,767.8,773.09,776.05,777.0,770.3,762.31,749.97,733.83,691.78,654.24,617.78,582.26,536.48,502.72,473.1,447.09,420.31,397.63,365.02,323.72,242.93,204.49,174.08,150.68,125.69,118.11,99.22,70.43,26.96,26.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.99,29.88,70.16,85.28,137.0,176.11,214.59,252.51,310.18,348.63,385.36,420.58,471.37,502.19,528.57,551.06,572.87,585.93,598.68,611.14,629.46,641.77,649.69,653.77,652.48,649.78,646.07,641.48,629.85,618.23,599.66,575.0,475.72,415.32,371.59,342.43,319.94,311.58,306.64,304.7,329.94,369.09,387.87,388.83,343.57,305.5,267.06,228.29,173.37,132.21,78.37,13.43,4.02,4.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.06,28.71,56.86,56.86,126.66,168.89,208.49,245.79,302.93,341.32,378.19,413.74,465.73,499.57,531.4,561.48,603.9,629.45,653.38,675.89,703.5,716.69,712.37,692.72,646.76,601.77,557.82,514.76,486.43,505.65,522.26,536.59,523.52,546.99,555.72,551.54,519.55,518.7,502.42,472.64,407.31,384.27,358.05,329.05,262.36,237.2,208.77,177.46,123.06,100.78,78.24,55.48,26.55,26.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.19,9.07,17.01,17.01,40.15,32.8,28.52,26.93,44.2,52.2,41.82,15.34,65.97,273.12,375.79,387.02,239.38,191.15,206.84,278.46,387.42,418.53,444.09,464.81,387.73,346.52,377.25,470.92,486.75,507.83,537.27,574.02,540.23,589.56,606.59,595.34,364.8,283.07,315.64,448.23,388.42,378.64,350.86,307.33,151.98,92.09,47.53,16.38,21.68,34.28,33.3,20.45,11.97,11.97,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.35,12.34,25.12,25.12,51.7,67.13,80.65,92.52,119.41,126.95,139.1,155.27,193.07,241.61,303.52,377.14,448.11,503.85,577.47,666.73,715.38,729.49,744.55,760.43,776.04,781.28,783.7,783.65,779.57,770.6,764.24,760.17,740.66,723.87,705.21,684.91,648.03,621.43,595.29,569.54,523.65,490.32,456.21,421.42,360.41,328.25,290.5,247.85,194.91,156.45,121.17,88.67,43.83,20.34,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.05,16.05,86.39,102.24,158.99,199.29,238.88,277.83,337.14,376.72,414.76,451.44,505.29,540.04,572.82,603.89,647.74,674.68,699.36,722.05,751.96,768.85,783.46,796.05,809.89,815.56,819.14,820.9,817.75,811.63,803.71,794.22,774.19,756.78,737.99,718.01,682.61,655.36,627.25,598.39,550.31,515.26,479.99,444.52,387.79,347.88,308.54,269.7,210.04,169.95,132.36,96.94,50.3,24.77,1.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
