,TT2M_1,TT2M_2,TT2M_3,TT2M_4,TT2M_5,TT2M_6,TT2M_7,TT2M_8,TT2M_9,TT2M_10,TT2M_11,TT2M_12,TT2M_13,TT2M_14,TT2M_15,TT2M_16,TT2M_17,TT2M_18,TT2M_19,TT2M_20,TT2M_21,TT2M_22,TT2M_23,TT2M_24,TT2M_25,TT2M_26,TT2M_27,TT2M_28,TT2M_29,TT2M_30,TT2M_31,TT2M_32,TT2M_33,TT2M_34,TT2M_35,TT2M_36,TT2M_37,TT2M_38,TT2M_39,TT2M_40,TT2M_41,TT2M_42,TT2M_43,TT2M_44,TT2M_45,TT2M_46,TT2M_47,TT2M_48,TT2M_49,TT2M_50,TT2M_51,TT2M_52,TT2M_53,TT2M_54,TT2M_55,TT2M_56,TT2M_57,TT2M_58,TT2M_59,TT2M_60,TT2M_61,TT2M_62,TT2M_63,TT2M_64,TT2M_65,TT2M_66,TT2M_67,TT2M_68,TT2M_69,TT2M_70,TT2M_71,TT2M_72,TT2M_73,TT2M_74,TT2M_75,TT2M_76,TT2M_77,TT2M_78,TT2M_79,TT2M_80,TT2M_81,TT2M_82,TT2M_83,TT2M_84,TT2M_85,TT2M_86,TT2M_87,TT2M_88,TT2M_89,TT2M_90,TT2M_91,TT2M_92,TT2M_93,TT2M_94,TT2M_95,TT2M_96
2020-04-11,7.82,7.64,7.48,7.3,7.19,7.48,7.38,7.04,6.87,6.5,6.84,6.89,6.89,6.79,6.81,7.01,7.04,6.96,7.3,7.58,7.58,7.48,7.5,7.46,7.79,8.69,9.52,10.62,11.58,12.34,13.05,13.75,14.53,15.38,16.1,16.59,17.07,17.48,17.83,18.18,18.42,18.59,18.77,19.0,19.28,19.59,19.95,20.31,20.65,20.9,21.09,21.28,21.43,21.68,22.02,22.21,22.03,21.71,21.56,21.52,21.56,21.61,21.61,21.53,21.4,21.27,21.1,20.86,20.55,20.21,19.71,18.88,18.45,18.76,18.66,18.39,17.83,17.29,17.41,17.19,16.76,16.32,16.09,16.03,15.7,15.36,15.04,14.74,14.2,13.82,13.51,12.83,12.4,12.13,11.75,11.4
2020-04-12,11.86,11.89,11.91,11.84,11.67,10.83,10.44,9.75,9.71,9.24,9.25,9.17,8.65,8.53,8.37,8.39,8.18,7.92,7.86,7.78,7.76,8.0,8.4,8.75,9.53,10.34,11.16,12.19,13.11,13.8,14.55,15.38,16.13,16.83,17.54,18.05,18.55,18.96,19.28,19.56,19.87,20.23,20.54,20.66,20.67,20.74,20.73,20.49,20.5,21.04,21.51,21.29,22.05,21.88,21.74,21.78,21.96,22.62,23.12,22.37,21.76,21.68,21.4,21.73,22.39,22.06,21.18,20.74,20.72,20.59,19.95,19.47,18.97,17.62,17.39,17.42,16.55,15.37,15.13,15.2,15.34,15.18,14.95,14.38,13.69,13.8,14.49,14.78,14.48,13.83,13.12,12.37,12.05,11.81,10.54,9.8
2020-04-13,12.58,12.99,12.78,12.68,12.31,11.87,11.48,11.39,11.3,10.72,10.67,10.51,10.24,9.91,9.63,9.34,9.05,8.76,8.59,8.54,8.36,8.22,8.17,7.97,7.69,7.51,7.46,7.32,7.11,7.04,7.17,7.19,7.05,7.12,7.33,7.6,7.94,8.34,8.92,9.64,10.04,10.4,10.65,10.87,11.11,11.3,11.42,11.56,11.67,11.53,11.29,11.23,11.31,11.52,11.81,12.02,12.2,12.29,12.32,12.27,12.23,12.09,11.94,11.75,11.46,11.16,10.81,10.37,9.87,9.38,8.86,8.31,7.77,7.29,6.78,6.34,5.96,5.6,5.23,4.88,4.54,4.23,3.94,3.67,3.4,3.13,2.88,2.64,2.39,2.15,1.91,1.66,1.42,1.19,0.98,0.79
2020-04-14,0.38,0.2,0.01,-0.22,-0.48,-0.72,-0.95,-1.16,-1.38,-1.6,-1.81,-2.0,-2.09,-2.27,-2.44,-2.51,-2.6,-2.59,-2.63,-2.69,-2.97,-2.74,-2.22,-2.14,-2.06,-1.83,-1.31,-0.41,0.45,1.1,1.92,2.72,3.37,3.91,4.37,4.77,5.04,5.3,5.65,6.03,6.39,6.73,7.08,7.4,7.62,7.79,7.96,8.11,8.25,8.41,8.58,8.71,8.81,8.92,9.03,9.1,9.15,9.22,9.27,9.3,9.31,9.33,9.33,9.3,9.16,9.04,8.92,8.77,8.57,8.36,8.07,7.72,7.29,6.9,6.33,5.43,4.88,5.07,5.32,5.36,5.21,4.89,4.63,4.45,4.3,4.12,3.69,3.02,2.19,1.94,1.86,1.72,1.81,1.87,1.79,1.73
2020-04-15,1.59,1.44,1.27,1.16,1.01,1.13,1.25,1.24,1.24,1.21,1.08,0.96,0.77,0.74,0.68,0.64,0.57,0.4,0.14,-0.09,-0.15,-0.12,0.1,0.38,0.78,1.7,2.8,3.74,4.76,5.65,6.39,7.23,8.02,8.59,9.11,9.63,10.04,10.39,10.68,11.03,11.31,11.55,11.8,12.07,12.37,12.73,13.14,13.57,13.97,14.31,14.6,14.83,15.01,15.18,15.35,15.5,15.66,15.82,15.98,16.17,16.38,16.57,16.69,16.71,16.62,16.55,16.48,16.36,16.2,15.97,15.6,15.03,14.29,13.41,12.68,12.61,13.01,13.23,13.24,13.09,12.85,12.49,12.0,11.46,11.15,10.79,10.53,10.28,10.09,10.03,10.02,9.89,9.72,9.4,9.32,9.27
2020-04-16,8.86,8.76,8.51,7.33,8.06,8.06,7.44,7.58,7.68,6.85,6.47,6.51,6.35,6.08,6.05,6.29,6.39,6.43,6.56,6.53,6.51,6.6,6.98,7.45,7.97,8.51,9.13,9.92,10.84,11.79,12.68,13.48,14.23,14.84,15.35,15.81,16.32,16.89,17.45,17.72,18.08,18.34,18.43,18.61,18.84,19.07,19.33,19.61,19.89,20.14,20.33,20.5,20.61,20.7,20.87,21.1,21.3,21.43,21.49,21.55,21.63,21.77,21.98,22.15,22.12,21.98,21.77,21.49,21.15,20.79,20.37,19.8,19.78,19.7,19.32,18.97,18.77,18.64,18.32,18.12,17.58,16.58,15.11,14.21,13.68,13.47,13.48,13.77,13.92,13.74,13.48,13.06,11.61,10.9,11.0,10.89
2020-04-17,11.9,11.79,11.56,11.3,11.24,11.08,10.8,10.59,10.5,10.14,9.6,9.28,9.31,9.32,9.28,9.28,9.52,9.41,9.09,8.88,8.46,8.1,7.67,7.36,7.83,8.75,9.96,10.78,11.6,12.25,12.88,13.49,14.17,14.66,15.38,16.11,16.52,17.08,17.78,18.46,18.76,18.97,19.48,19.96,20.22,20.3,20.39,20.52,20.66,20.78,20.83,20.87,20.97,21.08,21.21,21.36,21.54,21.79,21.97,21.98,22.08,22.45,22.65,22.55,22.29,21.95,21.65,21.37,21.1,20.89,20.64,20.29,19.9,19.54,19.11,18.23,17.28,17.17,17.14,17.05,16.84,16.81,16.87,16.65,16.5,16.3,16.01,15.65,15.13,14.72,14.38,14.27,13.97,14.07,13.98,13.86
2020-04-18,12.86,12.65,12.47,12.24,11.87,11.45,11.23,10.87,10.22,10.17,10.1,10.06,10.04,10.15,10.08,10.05,10.16,10.15,10.27,10.27,10.23,10.26,10.41,10.47,10.72,11.07,11.39,11.59,11.97,12.25,12.55,12.59,12.95,13.82,14.87,15.48,15.66,15.67,15.85,16.14,16.37,16.61,16.89,17.18,17.49,17.84,18.13,18.46,18.68,18.88,19.03,19.24,19.41,19.57,19.73,19.83,19.76,19.69,19.78,19.95,19.8,19.57,19.34,19.13,18.97,18.77,18.37,17.58,17.02,16.96,16.67,16.11,15.75,15.54,15.19,14.79,14.61,14.64,14.52,14.27,13.7,13.53,13.49,13.45,13.43,13.14,12.91,12.63,12.5,12.4,12.22,12.13,12.08,11.94,11.82,11.6
2020-04-19,9.76,9.46,8.87,8.61,8.22,7.38,6.39,5.5,5.25,5.55,5.71,5.44,5.45,5.74,6.01,6.18,6.24,6.29,6.29,6.23,6.27,6.32,6.49,6.56,6.59,6.68,6.86,7.12,7.46,7.81,8.18,8.58,9.02,9.54,10.22,10.99,11.66,12.26,12.93,13.63,14.28,14.87,15.43,16.0,16.53,16.94,17.19,17.34,17.42,17.49,17.52,17.56,17.71,17.9,18.11,18.29,18.43,18.59,18.71,18.74,18.59,18.42,18.51,18.55,18.21,18.15,18.23,18.34,18.57,18.32,17.65,17.17,16.71,16.27,15.81,15.36,14.97,14.59,14.22,13.85,13.49,13.15,12.83,12.56,12.29,11.98,11.72,11.45,11.1,10.72,10.39,10.08,9.68,9.24,8.82,8.45
2020-04-20,8.32,8.07,7.81,7.58,7.33,7.11,6.89,6.7,6.5,6.31,6.15,5.99,5.82,5.66,5.51,5.35,5.19,5.02,4.87,4.71,4.64,4.53,4.64,4.79,5.04,5.34,5.76,6.29,6.91,7.61,8.38,9.08,9.67,10.18,10.6,10.94,11.27,11.64,12.04,12.42,12.78,13.08,13.4,13.78,14.24,14.72,15.17,15.55,15.82,16.02,16.16,16.24,16.28,16.36,16.49,16.67,16.87,17.05,17.16,17.23,17.23,17.17,17.08,16.95,16.77,16.59,16.36,16.08,15.75,15.42,15.07,14.67,14.26,13.84,13.36,12.92,12.52,12.14,11.77,11.41,11.14,10.89,10.66,10.46,10.28,10.08,9.87,9.65,9.4,9.17,8.93,8.71,8.52,8.35,8.21,8.1
